image,left,top,right,bottom,labels
img_25737.jpg,981,279,1031,311,car
img_25737.jpg,927,283,984,344,car
img_25737.jpg,897,302,989,386,car
img_25737.jpg,1026,229,1054,263,car
img_25737.jpg,982,255,1030,295,car
img_25737.jpg,1111,281,1187,358,car
img_25737.jpg,180, 1149, 241, 1209,plate
img_26141.jpg,962,360,1207,560,truck
img_26141.jpg,1517,601,1777,737,motorbike
img_26141.jpg,914,297,973,341,car
img_26141.jpg,981,275,1032,307,car
img_26141.jpg,1032,228,1059,253,car
img_26141.jpg,962,360,1207,560,car
img_26141.jpg,985,255,1035,290,car
img_26141.jpg,1143,294,1235,391,car
img_26141.jpg,941,282,998,331,car
img_26344.jpg,904,317,952,364,car
img_26344.jpg,987,256,1028,287,car
img_26344.jpg,940,283,996,346,car
img_26344.jpg,1268,488,1680,812,car
img_26344.jpg,1429, 788, 1530, 830,plate
img_26547.jpg,555,681,839,813,motorbike
img_26547.jpg,1029,225,1061,252,car
img_26547.jpg,987,254,1033,288,car
img_26547.jpg,936,285,991,340,car
img_26952.jpg,1025,252,1055,276,car
img_26952.jpg,984,260,1023,299,car
img_26952.jpg,943,283,999,338,car
img_26952.jpg,432,531,890,973,car
img_26952.jpg,511, 799, 626, 848,plate
img_27154.jpg,908,320,953,364,car
img_27154.jpg,1062,221,1107,267,car
img_27154.jpg,982,256,1028,294,car
img_27154.jpg,948,363,1088,501,car
img_27154.jpg,940,283,996,343,car
img_27357.jpg,1187,406,1308,468,motorbike
img_27357.jpg,1357,508,1513,571,motorbike
img_27357.jpg,1058,283,1105,311,motorbike
img_27357.jpg,986,257,1032,292,car
img_27357.jpg,938,287,989,340,car
img_27762.jpg,1028,369,1090,429,motorbike
img_27762.jpg,111,1046,589,1333,motorbike
img_27762.jpg,969,266,1035,315,car
img_27762.jpg,1032,225,1067,261,car
img_27762.jpg,984,253,1046,291,car
img_27762.jpg,939,278,998,338,car
img_27965.jpg,410,723,682,863,motorbike
img_27965.jpg,417, 841, 462, 889,plate
img_28167.jpg,1289,359,1360,415,motorbike
img_28167.jpg,984,318,1058,356,motorbike
img_28167.jpg,620,391,703,502,motorbike
img_28167.jpg,934,288,990,338,car
img_28167.jpg,1139,272,1228,369,car
img_28572.jpg,893,228,1239,443,bus
img_28572.jpg,1198,312,1273,347,motorbike
img_28572.jpg,694,570,834,647,motorbike
img_28572.jpg,1110,293,1170,342,car
img_28775.jpg,984,206,1197,339,bus
img_28775.jpg,977,466,1056,528,motorbike
img_28775.jpg,974,403,1103,472,motorbike
img_28978.jpg,973,228,1148,364,bus
img_28978.jpg,955,269,1041,304,car
img_28978.jpg,982,208,1182,338,car
img_28978.jpg,881,418,1143,712,car
img_28978.jpg,935, 601, 992, 629,plate
img_29382.jpg,1315,606,1589,756,motorbike
img_29382.jpg,860,453,989,522,motorbike
img_29382.jpg,1079,222,1109,249,car
img_29382.jpg,1057,281,1124,334,car
img_29382.jpg,1017,212,1074,261,car
img_29382.jpg,1018,241,1075,287,car
img_29382.jpg,1063,286,1141,377,car
img_29382.jpg,948,274,1012,331,car
img_29585.jpg,986,278,1044,304,motorbike
img_29585.jpg,704,606,951,748,motorbike
img_29585.jpg,1143,257,1192,308,car
img_29585.jpg,991,254,1040,284,car
img_29585.jpg,1072,225,1100,248,car
img_29585.jpg,1031,227,1059,253,car
img_29788.jpg,256,373,389,522,motorbike
img_29788.jpg,1066,224,1089,252,car
img_29788.jpg,981,256,1026,296,car
img_29788.jpg,1027,227,1054,260,car
img_29788.jpg,950,278,1006,331,car
img_29990.jpg,136,1023,626,1489,motorbike
img_29990.jpg,1029,230,1058,261,car
img_29990.jpg,1282,314,1339,458,car
img_29990.jpg,947,286,995,335,car
img_30191.jpg,993,354,1072,391,motorbike
img_30191.jpg,1187,287,1250,335,motorbike
img_30191.jpg,1491,591,1790,721,motorbike
img_30191.jpg,946,412,1058,475,motorbike
img_30191.jpg,1061,243,1097,277,car
img_30191.jpg,978,255,1027,299,car
img_30191.jpg,946,281,997,339,car
img_30191.jpg,9,950,575,1614,car
img_30394.jpg,401,514,932,959,truck
img_30394.jpg,988,321,1037,355,motorbike
img_30394.jpg,1173,262,1214,313,car
img_30394.jpg,982,256,1017,296,car
img_30394.jpg,1072,260,1116,308,car
img_30394.jpg,1189,300,1242,346,car
img_30394.jpg,1142,259,1181,299,car
img_30394.jpg,945,281,997,330,car
img_30394.jpg,1028,229,1056,260,car
img_30394.jpg,1068,276,1122,335,car
img_30394.jpg,493, 803, 618, 868,plate
img_30597.jpg,980,310,1062,343,motorbike
img_30597.jpg,947,288,995,337,car
img_30597.jpg,1143,260,1177,299,car
img_30597.jpg,987,256,1018,292,car
img_30597.jpg,1069,260,1112,309,car
img_30597.jpg,1028,230,1054,261,car
img_30597.jpg,38,677,861,1393,car
img_30597.jpg,1067,279,1115,333,car
img_30597.jpg,140, 1169, 292, 1265,plate
img_31000.jpg,1297,443,1413,513,motorbike
img_31000.jpg,1056,260,1097,285,car
img_31000.jpg,1043,258,1088,285,car
img_31000.jpg,1031,228,1061,259,car
img_31000.jpg,986,255,1029,291,car
img_31000.jpg,734,341,889,596,car
img_31000.jpg,942,274,1005,335,car
img_31000.jpg,1035,333,1166,449,car
img_31203.jpg,57,1016,577,1331,motorbike
img_31203.jpg,1508,577,1766,698,motorbike
img_31203.jpg,1033,224,1066,251,car
img_31203.jpg,944,285,997,337,car
img_31406.jpg,1122,357,1171,385,motorbike
img_31406.jpg,779,631,1003,751,motorbike
img_31406.jpg,1028,356,1112,410,motorbike
img_31406.jpg,975,254,1031,304,car
img_31406.jpg,946,271,1010,328,car
img_31609.jpg,970,330,1095,385,motorbike
img_31609.jpg,235,971,562,1234,motorbike
img_31609.jpg,978,385,1050,427,motorbike
img_31609.jpg,876,528,1007,606,motorbike
img_31609.jpg,947,283,1001,337,car
img_31609.jpg,254, 1112, 305, 1165,plate
img_31811.jpg,885,319,939,391,motorbike
img_31811.jpg,1028,405,1161,466,motorbike
img_31811.jpg,1028,227,1057,258,car
img_31811.jpg,986,254,1028,290,car
img_31811.jpg,948,276,1008,328,car
img_31811.jpg,610,341,764,640,car
img_32013.jpg,1065,227,1087,256,car
img_32013.jpg,1031,228,1058,258,car
img_32013.jpg,977,254,1028,299,car
img_32013.jpg,949,275,1009,329,car
img_32013.jpg,181,593,865,1298,car
img_32013.jpg,315, 1015, 459, 1078,plate
img_32216.jpg,1241,406,1358,473,motorbike
img_32216.jpg,507,839,768,1003,motorbike
img_32216.jpg,1045,489,1186,564,motorbike
img_32216.jpg,507, 942, 570, 994,plate
img_32419.jpg,1712,984,2151,1266,motorbike
img_32419.jpg,1159,527,1287,595,motorbike
img_32419.jpg,1518,463,1631,596,motorbike
img_32419.jpg,983,255,1029,294,car
img_32419.jpg,947,276,1006,334,car
img_32621.jpg,1525,717,2344,1240,car
img_32621.jpg,1031,234,1055,266,car
img_32621.jpg,981,259,1024,301,car
img_32621.jpg,1093,279,1141,331,car
img_32621.jpg,1028,258,1064,297,car
img_32621.jpg,948,279,1003,333,car
img_32621.jpg,1024,278,1078,335,car
img_32824.jpg,450,916,744,1076,motorbike
img_32824.jpg,1030,228,1061,253,car
img_32824.jpg,993,254,1033,287,car
img_32824.jpg,948,281,1002,337,car
img_32824.jpg,464, 1033, 530, 1084,plate
img_33026.jpg,379,1202,713,1480,motorbike
img_33026.jpg,776,530,887,615,motorbike
img_33026.jpg,1433,482,1571,653,motorbike
img_33026.jpg,880,318,935,396,car
img_33026.jpg,1025,222,1058,258,car
img_33026.jpg,976,254,1030,301,car
img_33026.jpg,1587,1052,2041,1505,car
img_33026.jpg,948,274,1010,330,car
img_33026.jpg,1089,304,1179,423,car
img_33026.jpg,390, 1390, 469, 1460,plate
img_33229.jpg,1114,287,1176,319,motorbike
img_33229.jpg,1071,282,1113,310,motorbike
img_33229.jpg,1114,322,1156,355,motorbike
img_33229.jpg,1180,322,1245,361,motorbike
img_33229.jpg,1337,442,1481,568,motorbike
img_33229.jpg,1073,258,1122,288,car
img_33229.jpg,978,259,1026,303,car
img_33229.jpg,1032,280,1070,322,car
img_33229.jpg,1028,262,1070,304,car
img_33229.jpg,947,279,1002,334,car
img_33431.jpg,1068,280,1108,307,motorbike
img_33431.jpg,1826,558,1958,724,motorbike
img_33431.jpg,1068,280,1108,307,car
img_33431.jpg,955,265,1001,311,car
img_33431.jpg,1034,233,1060,259,car
img_33431.jpg,1181,290,1233,347,car
img_33431.jpg,944,282,994,339,car
img_33431.jpg,1064,259,1106,292,car
img_33431.jpg,983,256,1025,297,car
img_33431.jpg,1090,261,1134,306,car
img_33431.jpg,921,323,1032,464,car
img_33634.jpg,1083,373,1391,614,truck
img_33634.jpg,1031,227,1058,253,car
img_33634.jpg,1092,393,1393,620,car
img_33634.jpg,980,254,1033,296,car
img_33634.jpg,948,272,1012,329,car
img_33634.jpg,1550,456,1845,807,car
img_33837.jpg,1031,224,1060,254,car
img_33837.jpg,978,257,1025,301,car
img_33837.jpg,948,277,998,335,car
img_33837.jpg,1356,334,1472,568,car
img_33837.jpg,1604,478,1946,825,car
img_33837.jpg,1869, 755, 1929, 794,plate
img_34039.jpg,1238,426,1310,481,motorbike
img_34039.jpg,987,258,1029,296,car
img_34039.jpg,947,279,1001,333,car
img_34039.jpg,1604,479,1943,825,car
img_34039.jpg,1869, 755, 1929, 795,plate
img_34241.jpg,1069,290,1126,321,motorbike
img_34241.jpg,1249,341,1336,426,motorbike
img_34241.jpg,1029,227,1054,257,car
img_34241.jpg,1279,315,1346,472,car
img_34241.jpg,1603,475,1914,838,car
img_34241.jpg,981,258,1019,297,car
img_34241.jpg,948,280,1002,334,car
img_34444.jpg,1029,230,1054,257,car
img_34444.jpg,981,256,1026,296,car
img_34444.jpg,1606,487,1945,839,car
img_34444.jpg,949,277,1006,330,car
img_34444.jpg,1869, 755, 1929, 794,plate
img_34647.jpg,1031,227,1063,259,car
img_34647.jpg,986,258,1024,296,car
img_34647.jpg,1603,478,1942,827,car
img_34647.jpg,947,285,1003,331,car
img_34647.jpg,976,316,1058,408,car
img_34647.jpg,1869, 755, 1929, 794,plate
img_35051.jpg,1164,355,1444,576,truck
img_35051.jpg,1070,228,1094,252,car
img_35051.jpg,978,252,1030,300,car
img_35051.jpg,1030,227,1057,255,car
img_35051.jpg,950,280,1004,332,car
img_35051.jpg,1016,286,1090,368,car
img_35254.jpg,666,543,911,685,motorbike
img_35254.jpg,1222,357,1287,406,motorbike
img_35254.jpg,1067,286,1124,318,motorbike
img_35254.jpg,741,717,1560,2015,car
img_35254.jpg,977,255,1027,297,car
img_35254.jpg,1029,224,1057,257,car
img_35254.jpg,947,276,1007,332,car
img_35254.jpg,1309,376,1594,603,car
img_35254.jpg,1501,344,1632,553,car
img_35457.jpg,1080,301,1234,419,truck
img_35457.jpg,1703,461,2103,806,truck
img_35457.jpg,1306,477,1435,559,motorbike
img_35457.jpg,1287,314,1359,461,car
img_35457.jpg,1026,229,1050,262,car
img_35457.jpg,984,261,1030,301,car
img_35457.jpg,1030,284,1081,314,car
img_35457.jpg,1025,258,1072,296,car
img_35457.jpg,1076,285,1242,408,car
img_35457.jpg,949,281,1001,329,car
img_35862.jpg,1246,384,1453,518,motorbike
img_35862.jpg,1319,388,1480,458,motorbike
img_35862.jpg,1253,483,1379,559,motorbike
img_35862.jpg,1782,557,1932,714,motorbike
img_35862.jpg,1031,231,1060,261,car
img_35862.jpg,983,258,1019,294,car
img_35862.jpg,1065,260,1106,299,car
img_35862.jpg,948,280,1003,334,car
img_35862.jpg,1059,274,1113,330,car
img_36064.jpg,190,1016,693,1319,motorbike
img_36064.jpg,979,255,1030,298,car
img_36064.jpg,1034,229,1059,258,car
img_36064.jpg,950,276,1009,330,car
img_36267.jpg,945,287,993,339,car
img_36267.jpg,1275,313,1339,473,car
img_36267.jpg,1182,365,1369,575,car
img_36672.jpg,1274,357,1346,420,motorbike
img_36672.jpg,979,520,1104,589,motorbike
img_36672.jpg,1164,348,1246,395,motorbike
