Image,left,top,right,bottom,class
img_12288.jpg,1069,227,1093,254,car
img_12288.jpg,1054,313,1181,419,car
img_12288.jpg,1283,316,1341,465,car
img_12288.jpg,1027,228,1056,262,car
img_12369.jpg,923,245,1084,355,truck
img_12369.jpg,1034,588,1203,692,motorbike
img_12369.jpg,930,526,1065,599,motorbike
img_12369.jpg,1357,526,1478,593,motorbike
img_12369.jpg,1205,388,1291,435,motorbike
img_12369.jpg,1025,225,1057,260,car
img_12369.jpg,1006,320,1161,465,car
img_1245.jpg,1066,252,1117,276,motorbike
img_1245.jpg,1011,310,1094,347,motorbike
img_1245.jpg,941,273,1007,333,car
img_1245.jpg,1119,257,1171,290,car
img_1245.jpg,1277,312,1351,464,car
img_1245.jpg,1126,393,1384,651,car
img_1245.jpg,1260,567,1332,603,plate
img_12693.jpg,1060,226,1177,297,truck
img_12693.jpg,596,444,936,776,truck
img_12693.jpg,925,241,1097,347,truck
img_12693.jpg,1038,286,1110,311,car
img_12693.jpg,1036,321,1081,350,car
img_12693.jpg,1281,315,1340,464,car
img_12693.jpg,1071,274,1136,325,car
img_12693.jpg,597,431,918,749,car
img_12693.jpg,647,588,730,621,plate
img_12774.jpg,578,407,936,772,truck
img_12774.jpg,923,240,1100,353,truck
img_12774.jpg,425,549,510,607,motorbike
img_12774.jpg,1176,263,1220,312,car
img_12774.jpg,1068,228,1094,253,car
img_12774.jpg,1189,289,1242,334,car
img_12774.jpg,1284,317,1339,462,car
img_12774.jpg,1107,259,1148,286,car
img_12774.jpg,1031,228,1061,258,car
img_12774.jpg,1111,294,1220,399,car
img_12774.jpg,598,432,921,753,car
C:/Users/TusharGoel/Desktop/Vehicle Object Tracking\Data\Source_Images\Test_Image\img_12774.jpg,647,588,729,621,plate
img_12855.jpg,923,241,1099,354,truck
img_12855.jpg,429,556,505,613,motorbike
img_12855.jpg,549,857,960,1115,motorbike
img_12855.jpg,1027,225,1060,259,car
img_12855.jpg,1282,315,1342,460,car
img_12855.jpg,1221,403,1526,651,car
img_12855.jpg,593,435,912,754,car
img_12855.jpg,556,1072,618,1135,plate
img_12855.jpg,1335,621,1404,656,plate
img_12936.jpg,924,241,1097,351,truck
img_12936.jpg,430,552,516,613,motorbike
img_12936.jpg,1087,286,1144,311,motorbike
img_12936.jpg,1176,317,1244,362,motorbike
img_12936.jpg,1069,233,1100,264,car
img_12936.jpg,1281,314,1340,464,car
img_12936.jpg,1026,226,1059,261,car
img_12936.jpg,633,411,973,733,car
img_12936.jpg,662,572,749,610,plate
img_13098.jpg,209,572,1019,1162,truck
img_13098.jpg,926,240,1102,347,truck
img_13098.jpg,231,679,914,1230,car
img_13098.jpg,1075,230,1107,261,car
img_13098.jpg,1282,315,1340,466,car
img_13098.jpg,1096,251,1147,285,car
img_13098.jpg,1033,231,1065,260,car
img_13098.jpg,1590,532,2070,949,car
img_13098.jpg,1875,890,1961,944,plate
img_13098.jpg,286,1132,440,1225,plate
img_13179.jpg,967,325,1174,485,truck
img_13179.jpg,927,247,1083,351,truck
img_13179.jpg,1227,405,1342,466,motorbike
img_13179.jpg,1077,250,1120,286,car
img_13179.jpg,1034,245,1074,273,car
img_13179.jpg,1165,278,1237,351,car
img_13179.jpg,1031,234,1062,263,car
img_13179.jpg,1278,313,1338,466,car
img_13179.jpg,968,344,1152,495,car
img_13179.jpg,1082,246,1138,301,car
img_13179.jpg,1591,532,2072,946,car
img_13179.jpg,1874,890,1960,944,plate
img_1326.jpg,1391,423,1740,661,truck
img_1326.jpg,930,395,1019,441,motorbike
img_1326.jpg,988,252,1035,283,car
img_1326.jpg,945,277,1007,339,car
img_13584.jpg,925,242,1097,351,truck
img_13584.jpg,1172,280,1236,335,car
img_13584.jpg,1026,228,1058,265,car
img_13584.jpg,1588,529,2076,947,car
img_13584.jpg,1076,422,1372,647,car
img_13584.jpg,1874,890,1961,944,plate
img_13665.jpg,1623,354,1771,487,truck
img_13665.jpg,924,242,1096,353,truck
img_13665.jpg,1025,226,1058,261,car
img_13665.jpg,1301,321,1352,438,car
img_13665.jpg,1628,364,1765,502,car
img_13665.jpg,1594,538,2065,947,car
img_13665.jpg,1875,890,1961,944,plate
img_13746.jpg,938,243,1109,344,truck
img_13746.jpg,1515,351,1613,435,motorbike
img_13746.jpg,1530,358,1601,406,motorbike
img_13746.jpg,1945,552,2094,655,car
img_13746.jpg,1024,224,1058,260,car
img_13746.jpg,1592,540,2058,944,car
img_13746.jpg,1874,890,1961,945,plate
img_13827.jpg,1022,226,1054,266,car
img_13827.jpg,1588,536,2081,964,car
img_13827.jpg,1881,914,1967,969,plate
img_13908.jpg,1754,596,2687,890,truck
img_13908.jpg,995,338,1088,373,motorbike
img_13908.jpg,946,349,1021,389,motorbike
img_13908.jpg,1419,405,1563,499,motorbike
img_13908.jpg,1028,226,1064,258,car
img_13908.jpg,1742,654,2624,940,car
img_1407.jpg,1063,229,1092,256,car
img_1407.jpg,1276,315,1337,458,car
img_1407.jpg,1035,230,1067,262,car
img_1407.jpg,990,252,1039,283,car
img_1407.jpg,943,279,1008,341,car
img_1407.jpg,931,360,1107,521,car
img_14394.jpg,971,495,1080,581,motorbike
img_14394.jpg,1277,315,1344,477,car
img_14394.jpg,1053,251,1100,299,car
img_146.jpg,1221,316,1269,373,car
img_146.jpg,982,261,1026,303,car
img_146.jpg,1063,277,1125,337,car
img_146.jpg,1278,312,1338,461,car
img_146.jpg,951,287,1006,339,car
img_146.jpg,1354,647,2165,1279,car
img_146.jpg,869,300,977,399,car
img_146.jpg,1756,1341,1892,1413,plate
img_1784.jpg,981,312,1059,348,motorbike
img_1784.jpg,1171,263,1253,320,car
img_1784.jpg,1069,226,1105,256,car
img_1784.jpg,1285,312,1350,453,car
img_1784.jpg,1031,227,1061,257,car
img_1784.jpg,1064,291,1214,406,car
img_1784.jpg,630,497,995,874,car
img_1784.jpg,699,766,801,807,plate
img_1865.jpg,993,275,1057,302,motorbike
img_1865.jpg,901,311,965,375,motorbike
img_1865.jpg,1284,337,1405,412,motorbike
img_1865.jpg,1115,283,1165,307,motorbike
img_1865.jpg,920,530,1062,599,motorbike
img_1865.jpg,1213,314,1264,374,car
img_1865.jpg,1027,229,1055,267,car
img_1946.jpg,206,993,439,1160,motorbike
img_1946.jpg,1080,255,1119,282,car
img_1946.jpg,204,1113,260,1166,plate
img_2189.jpg,930,325,1059,385,motorbike
img_2189.jpg,935,388,1013,436,motorbike
img_2189.jpg,1216,392,1287,435,motorbike
img_2189.jpg,1356,468,1508,561,motorbike
img_2189.jpg,1027,226,1061,262,car
img_227.jpg,1086,351,1158,397,motorbike
img_227.jpg,777,515,926,593,motorbike
img_227.jpg,1217,313,1269,374,car
img_227.jpg,1074,262,1114,302,car
img_227.jpg,1089,262,1128,306,car
img_227.jpg,1175,262,1223,314,car
img_227.jpg,956,294,1046,393,car
img_2594.jpg,1027,233,1049,263,car
img_2594.jpg,1192,302,1247,376,car
img_2594.jpg,982,257,1021,297,car
img_2594.jpg,939,283,997,337,car
img_2594.jpg,1281,316,1338,460,car
img_2594.jpg,1102,284,1150,344,car
img_2594.jpg,1351,585,1947,1073,car
img_2594.jpg,1636,1069,1766,1128,plate
img_2675.jpg,726,664,903,757,motorbike
img_2675.jpg,950,261,1004,315,car
img_2675.jpg,983,257,1029,294,car
img_2675.jpg,1194,301,1250,373,car
img_2675.jpg,940,280,1003,333,car
img_2675.jpg,1283,318,1340,463,car
img_2675.jpg,1584,364,1705,599,car
img_2756.jpg,1031,254,1073,277,car
img_2756.jpg,1092,258,1139,298,car
img_2756.jpg,986,258,1031,296,car
img_2756.jpg,1182,295,1236,348,car
img_2756.jpg,1198,302,1251,368,car
img_2756.jpg,706,716,1526,2033,car
img_2756.jpg,1072,259,1114,300,car
img_2756.jpg,1284,314,1343,453,car
img_2756.jpg,942,281,1004,331,car
img_2756.jpg,1139,380,1330,602,car
img_2837.jpg,1137,312,1208,348,motorbike
img_2837.jpg,1261,551,1479,642,motorbike
img_2837.jpg,1283,314,1343,460,car
img_2837.jpg,946,256,1002,315,car
img_2837.jpg,1021,225,1056,262,car
img_2837.jpg,977,252,1027,297,car
img_2837.jpg,937,280,999,331,car
img_2837.jpg,721,332,874,591,car
img_2918.jpg,1540,684,1820,885,motorbike
img_2918.jpg,977,274,1033,309,car
img_2918.jpg,1195,299,1250,368,car
img_2918.jpg,949,259,1002,314,car
img_2918.jpg,1183,291,1238,349,car
img_2918.jpg,1026,229,1054,262,car
img_2918.jpg,1063,230,1091,262,car
img_2918.jpg,981,254,1031,293,car
img_2918.jpg,1279,314,1339,472,car
img_2918.jpg,939,281,1000,330,car
img_2918.jpg,494,343,644,641,car
img_308.jpg,1068,229,1093,266,car
img_308.jpg,1029,234,1055,265,car
img_308.jpg,980,258,1019,298,car
img_308.jpg,1174,262,1218,313,car
img_308.jpg,1218,318,1262,378,car
img_308.jpg,1276,315,1336,465,car
img_308.jpg,1064,258,1101,297,car
img_308.jpg,944,283,999,340,car
img_308.jpg,1072,285,1160,365,car
img_308.jpg,94,730,838,1416,car
img_308.jpg,190,1186,352,1268,plate
img_3485.jpg,461,343,618,642,truck
img_3485.jpg,1060,227,1087,259,car
img_3485.jpg,1181,292,1237,354,car
img_3485.jpg,1034,228,1061,260,car
img_3485.jpg,941,283,999,336,car
img_3485.jpg,982,253,1034,292,car
img_3485.jpg,461,343,618,642,car
img_3566.jpg,975,277,1027,312,car
img_3566.jpg,912,296,976,347,car
img_3566.jpg,954,262,1003,309,car
img_3566.jpg,1177,261,1223,308,car
img_3566.jpg,1193,301,1246,372,car
img_3566.jpg,1070,225,1095,253,car
img_3566.jpg,1181,292,1234,350,car
img_3566.jpg,1089,220,1132,264,car
img_3566.jpg,1277,315,1338,468,car
img_3566.jpg,984,255,1028,292,car
img_3566.jpg,944,284,1001,334,car
img_3566.jpg,1030,227,1057,257,car
img_3566.jpg,498,340,651,630,car
img_3647.jpg,212,366,391,697,truck
img_3647.jpg,832,554,999,644,motorbike
img_3647.jpg,1067,222,1090,248,car
img_3647.jpg,911,293,979,345,car
img_3647.jpg,1182,293,1236,354,car
img_3647.jpg,979,253,1032,295,car
img_3647.jpg,945,279,1011,328,car
img_3647.jpg,213,324,430,653,car
img_3647.jpg,1275,316,1336,475,car
img_3647.jpg,1029,226,1057,258,car
img_3647.jpg,575,329,745,613,car
img_3728.jpg,224,363,409,722,truck
img_3728.jpg,1043,286,1106,321,motorbike
img_3728.jpg,952,259,1005,308,car
img_3728.jpg,975,279,1023,315,car
img_3728.jpg,1197,301,1250,365,car
img_3728.jpg,226,330,442,659,car
img_3728.jpg,1184,292,1237,348,car
img_3728.jpg,1279,315,1339,468,car
img_3728.jpg,944,282,1002,332,car
img_3728.jpg,983,256,1030,297,car
img_3728.jpg,582,333,743,600,car
img_3809.jpg,951,258,1013,314,car
img_3809.jpg,1030,228,1061,260,car
img_3809.jpg,1193,302,1246,375,car
img_3809.jpg,1183,293,1236,349,car
img_3809.jpg,943,276,1009,330,car
img_3809.jpg,977,254,1031,297,car
img_3809.jpg,1281,317,1337,461,car
img_3809.jpg,1,317,169,443,car
img_3809.jpg,301,340,503,675,car
img_3809.jpg,594,330,754,585,car
img_3890.jpg,1187,291,1243,342,car
img_3890.jpg,948,256,1007,315,car
img_3890.jpg,1283,316,1339,461,car
img_3890.jpg,941,279,1006,332,car
img_3890.jpg,975,252,1029,298,car
img_3890.jpg,592,334,753,594,car
img_3890.jpg,1159,429,1597,900,car
img_3890.jpg,273,365,456,754,car
img_3890.jpg,1517,755,1587,806,plate
img_3971.jpg,1740,518,1897,681,motorbike
img_3971.jpg,1142,414,1250,479,motorbike
img_3971.jpg,1493,625,1741,764,motorbike
img_3971.jpg,947,252,1021,313,car
img_3971.jpg,1279,313,1340,468,car
img_3971.jpg,938,271,1009,325,car
img_3971.jpg,1187,293,1241,346,car
img_3971.jpg,1198,298,1254,365,car
img_3971.jpg,974,250,1039,300,car
img_3971.jpg,1025,227,1056,261,car
img_3971.jpg,964,331,1122,518,car
img_3971.jpg,585,339,735,606,car
img_4295.jpg,1182,310,1266,358,motorbike
img_4295.jpg,1028,228,1056,261,car
img_4295.jpg,1279,315,1338,471,car
img_4295.jpg,221,332,379,636,car
img_4376.jpg,996,283,1057,312,motorbike
img_4376.jpg,1282,316,1339,465,car
img_4376.jpg,1032,229,1058,256,car
img_4376.jpg,1066,286,1178,391,car
img_4376.jpg,0,874,658,1572,car
img_4457.jpg,1574,856,2254,1330,car
img_4457.jpg,1039,252,1083,274,car
img_4457.jpg,1034,228,1061,255,car
img_4457.jpg,1283,316,1341,464,car
img_4457.jpg,1000,320,1118,427,car
img_4538.jpg,1630,884,2282,1287,bus
img_4538.jpg,1028,231,1051,263,car
img_4619.jpg,982,248,1052,284,car
img_4619.jpg,1278,315,1337,475,car
img_4619.jpg,1031,225,1066,259,car
img_4619.jpg,1452,600,2031,1178,car
img_4619.jpg,1918,1042,1991,1111,plate
img_470.jpg,1058,249,1103,272,motorbike
img_470.jpg,909,430,989,491,motorbike
img_470.jpg,1069,221,1110,247,car
img_470.jpg,1092,223,1133,264,car
img_470.jpg,1032,226,1066,253,car
img_470.jpg,1213,312,1265,379,car
img_470.jpg,1175,279,1235,331,car
img_470.jpg,984,253,1036,287,car
img_470.jpg,1175,259,1229,310,car
img_470.jpg,947,277,1011,332,car
img_470.jpg,1282,314,1343,452,car
img_470.jpg,1201,375,1389,535,car
img_470.jpg,1277,504,1330,530,plate
img_4781.jpg,908,319,957,372,motorbike
img_4781.jpg,984,359,1041,401,motorbike
img_4781.jpg,802,471,964,542,motorbike
img_4781.jpg,1174,258,1228,314,car
img_4781.jpg,1030,228,1061,259,car
img_4781.jpg,1280,313,1345,449,car
img_4781.jpg,1021,360,1182,506,car
img_4862.jpg,555,690,911,1014,motorbike
img_4862.jpg,1279,314,1338,470,car
img_4943.jpg,650,735,927,873,motorbike
img_4943.jpg,1275,314,1336,472,car
img_4943.jpg,1175,259,1224,310,car
img_4943.jpg,1030,229,1056,258,car
img_4943.jpg,649,852,699,895,plate
img_5186.jpg,522,421,942,870,truck
img_5186.jpg,1035,252,1079,269,motorbike
img_5186.jpg,826,836,1100,1026,motorbike
img_5186.jpg,147,911,566,1212,motorbike
img_5186.jpg,828,666,1254,916,motorbike
img_5186.jpg,951,282,1011,330,car
img_5186.jpg,1278,316,1336,468,car
img_5186.jpg,1087,276,1140,331,car
img_5186.jpg,141,1145,198,1204,plate
img_5267.jpg,1192,434,1257,475,motorbike
img_5267.jpg,1093,455,1209,523,motorbike
img_5267.jpg,1173,259,1224,316,car
img_5267.jpg,1285,311,1346,451,car
img_5267.jpg,1327,472,1776,839,car
img_5267.jpg,1539,799,1621,841,plate
img_5348.jpg,1122,263,1238,355,truck
img_5348.jpg,1281,315,1339,466,car
img_5348.jpg,970,262,1045,303,car
img_5348.jpg,1122,263,1238,355,car
img_5348.jpg,984,249,1046,285,car
img_5348.jpg,1033,228,1064,251,car
img_5348.jpg,950,274,1023,319,car
img_5348.jpg,814,380,1056,622,car
img_5348.jpg,861,498,935,528,plate
img_5429.jpg,1583,318,1736,520,truck
img_5429.jpg,1260,322,1320,367,motorbike
img_5429.jpg,743,534,956,658,motorbike
img_5429.jpg,1291,315,1354,453,car
img_5429.jpg,972,274,1028,318,car
img_5429.jpg,912,290,976,336,car
img_5429.jpg,1184,289,1234,334,car
img_5429.jpg,1175,262,1222,312,car
img_5429.jpg,981,254,1034,293,car
img_5429.jpg,1069,260,1116,312,car
img_5429.jpg,950,282,1013,330,car
img_5429.jpg,1029,229,1060,261,car
img_5429.jpg,914,350,1077,502,car
img_5429.jpg,1069,271,1129,333,car
img_551.jpg,1096,281,1139,307,motorbike
img_551.jpg,1095,259,1142,288,car
img_551.jpg,1212,314,1263,379,car
img_551.jpg,1069,230,1094,258,car
img_551.jpg,1174,262,1221,314,car
img_551.jpg,1032,233,1055,261,car
img_551.jpg,984,257,1027,293,car
img_551.jpg,1278,314,1337,463,car
img_551.jpg,946,281,1003,334,car
img_551.jpg,1305,530,1832,987,car
img_551.jpg,1582,936,1685,986,plate
img_5591.jpg,1577,268,1769,503,truck
img_5591.jpg,1329,438,1598,568,motorbike
img_5591.jpg,1176,261,1220,312,car
img_5591.jpg,1030,226,1060,256,car
img_5591.jpg,1107,302,1197,414,car
img_5672.jpg,1,299,205,628,car
img_5753.jpg,1584,290,1767,524,truck
img_5753.jpg,1227,413,1755,844,truck
img_5753.jpg,1122,315,1177,348,motorbike
img_5753.jpg,984,252,1039,286,car
img_5753.jpg,1031,229,1059,256,car
img_5753.jpg,949,282,1010,320,car
img_5753.jpg,1257,332,1370,552,car
img_5753.jpg,1471,858,1563,895,plate
img_5834.jpg,1391,278,1538,427,truck
img_5834.jpg,1794,783,2109,955,motorbike
img_5834.jpg,903,288,974,344,car
img_5915.jpg,1392,272,1545,419,truck
img_5915.jpg,428,412,538,554,motorbike
img_5915.jpg,1034,227,1063,251,car
img_5915.jpg,1015,304,1137,416,car
img_6077.jpg,1394,276,1542,418,truck
img_6077.jpg,239,833,789,1083,motorbike
img_6077.jpg,1031,229,1059,257,car
img_6077.jpg,911,290,980,343,car
img_6077.jpg,279,1285,340,1348,plate
img_6158.jpg,1397,279,1544,422,truck
img_6158.jpg,913,288,987,333,motorbike
img_6158.jpg,1216,442,1373,510,motorbike
img_6158.jpg,1631,363,1744,578,car
img_6239.jpg,1396,277,1544,420,truck
img_6239.jpg,1185,408,1320,470,motorbike
img_6239.jpg,1695,372,1797,513,car
img_632.jpg,746,545,918,634,motorbike
img_632.jpg,1215,314,1266,377,car
img_632.jpg,1029,222,1060,251,car
img_632.jpg,1175,260,1227,313,car
img_632.jpg,977,250,1042,298,car
img_632.jpg,944,272,1011,330,car
img_632.jpg,1277,314,1336,467,car
img_6482.jpg,1394,275,1543,419,truck
img_6482.jpg,902,308,968,366,motorbike
img_6482.jpg,1066,255,1121,296,motorbike
img_6482.jpg,1072,279,1116,318,motorbike
img_6482.jpg,158,945,695,1230,motorbike
img_6482.jpg,1299,483,1429,544,motorbike
img_6482.jpg,1030,225,1067,257,car
img_6482.jpg,911,288,985,338,car
img_6482.jpg,146,1266,214,1334,plate
img_6563.jpg,1392,278,1537,425,truck
img_6563.jpg,1053,280,1107,307,motorbike
img_6563.jpg,1129,357,1194,432,motorbike
img_6563.jpg,914,284,988,327,car
img_6563.jpg,988,252,1037,284,car
img_6563.jpg,1132,313,1236,398,car
img_6563.jpg,945,277,1013,323,car
img_6563.jpg,320,541,834,1041,car
img_6563.jpg,399,857,510,904,plate
img_6644.jpg,1220,371,1395,506,truck
img_6644.jpg,1394,275,1545,419,truck
img_6644.jpg,1174,263,1221,314,car
img_6644.jpg,1207,305,1253,363,car
img_6644.jpg,1068,258,1111,294,car
img_6644.jpg,1181,288,1232,338,car
img_6644.jpg,1213,353,1399,493,car
img_6644.jpg,951,282,1015,318,car
img_6644.jpg,912,290,983,338,car
img_6644.jpg,1027,260,1073,298,car
img_6644.jpg,1110,281,1172,355,car
img_6644.jpg,1018,276,1072,328,car
img_6725.jpg,455,708,665,844,motorbike
img_6725.jpg,946,278,1013,324,car
img_6725.jpg,1027,255,1074,302,car
img_6806.jpg,229,1118,528,1327,motorbike
img_6806.jpg,891,385,1045,459,motorbike
img_6806.jpg,894,473,973,534,motorbike
img_6806.jpg,1482,466,1645,529,motorbike
img_6806.jpg,992,326,1050,364,motorbike
img_6806.jpg,1080,271,1142,334,car
img_6806.jpg,251,1276,312,1337,plate
img_7049.jpg,914,292,981,343,car
img_7049.jpg,1029,233,1056,265,car
img_7049.jpg,941,283,1000,329,car
img_7049.jpg,1064,257,1113,303,car
img_7049.jpg,66,567,577,1098,car
img_7049.jpg,141,952,237,1012,plate
img_713.jpg,1153,324,1363,481,truck
img_713.jpg,1426,347,1534,599,truck
img_713.jpg,1031,232,1056,260,car
img_713.jpg,1175,261,1229,319,car
img_713.jpg,1032,270,1102,318,car
img_713.jpg,1416,338,1531,569,car
img_713.jpg,1155,334,1347,492,car
img_713.jpg,1027,254,1080,294,car
img_713.jpg,987,258,1035,298,car
img_713.jpg,945,273,1007,330,car
img_713.jpg,1280,315,1342,459,car
img_7292.jpg,329,329,546,654,truck
img_7292.jpg,1610,622,1860,765,motorbike
img_7292.jpg,991,257,1034,287,car
img_7292.jpg,1029,232,1055,263,car
img_7292.jpg,329,329,546,654,car
img_7292.jpg,1279,315,1338,469,car
img_7292.jpg,954,284,1015,324,car
img_7292.jpg,1048,277,1111,347,car
img_7373.jpg,1034,406,1445,825,truck
img_7373.jpg,826,487,943,557,motorbike
img_7373.jpg,1438,521,1596,610,motorbike
img_7373.jpg,1029,228,1068,266,car
img_7373.jpg,1034,406,1445,825,car
img_7373.jpg,1345,698,1418,736,plate
img_7454.jpg,1490,362,1628,417,motorbike
img_7454.jpg,708,660,1550,1983,car
img_7535.jpg,1487,849,1837,1008,motorbike
img_7535.jpg,1176,258,1226,309,car
img_7616.jpg,1676,376,1773,461,motorbike
img_7616.jpg,1376,634,2240,1260,car
img_7616.jpg,1785,1365,1930,1447,plate
img_7940.jpg,957,358,1106,481,truck
img_7940.jpg,1144,262,1178,293,car
img_7940.jpg,948,285,1009,325,car
img_7940.jpg,977,276,1033,317,car
img_7940.jpg,1028,235,1055,265,car
img_7940.jpg,1177,261,1224,309,car
img_7940.jpg,982,255,1033,292,car
img_7940.jpg,1180,295,1236,355,car
img_7940.jpg,957,356,1105,478,car
img_7940.jpg,1075,263,1119,307,car
img_7940.jpg,1241,306,1332,472,car
img_8183.jpg,1627,357,1748,581,truck
img_8183.jpg,1056,250,1101,276,motorbike
img_8183.jpg,1276,409,1408,474,motorbike
img_8183.jpg,1564,365,1631,445,car
img_8183.jpg,1031,228,1066,262,car
img_8183.jpg,1631,347,1755,560,car
img_8183.jpg,147,327,341,630,car
img_8264.jpg,987,253,1040,283,car
img_8264.jpg,1031,229,1064,260,car
img_8264.jpg,950,278,1018,320,car
img_8264.jpg,1057,258,1103,304,car
img_8264.jpg,1281,315,1341,460,car
img_8264.jpg,1177,260,1224,309,car
img_8264.jpg,0,312,170,489,car
img_8264.jpg,1008,379,1225,590,car
img_8264.jpg,517,368,725,726,car
img_8264.jpg,1045,285,1110,368,car
img_8264.jpg,1057,545,1127,565,plate
img_8345.jpg,1029,229,1063,261,car
img_8345.jpg,1284,316,1341,458,car
img_8345.jpg,1095,249,1136,290,car
img_8345.jpg,1176,260,1223,310,car
img_8345.jpg,1073,271,1150,338,car
img_8345.jpg,461,343,657,674,car
img_8345.jpg,1129,443,1530,861,car
img_8345.jpg,1417,731,1491,776,plate
img_8426.jpg,1038,364,1261,698,truck
img_8426.jpg,1032,224,1068,256,car
img_8426.jpg,1175,258,1226,312,car
img_8426.jpg,1278,315,1339,468,car
img_8426.jpg,1085,251,1136,303,car
img_8426.jpg,1039,367,1254,637,car
img_8426.jpg,1153,478,1528,896,car
img_8426.jpg,1419,759,1508,803,plate
img_8507.jpg,1118,474,1558,949,truck
img_8507.jpg,1515,438,1936,836,truck
img_8507.jpg,1178,284,1233,341,car
img_8507.jpg,1148,260,1185,290,car
img_8507.jpg,912,289,984,336,car
img_8507.jpg,986,254,1042,285,car
img_8507.jpg,1070,225,1098,250,car
img_8507.jpg,1176,261,1225,313,car
img_8507.jpg,1031,227,1064,255,car
img_8507.jpg,1284,316,1341,456,car
img_8507.jpg,1515,438,1936,836,car
img_8507.jpg,1141,435,1573,851,car
img_8507.jpg,997,326,1119,491,car
img_8507.jpg,1830,753,1897,789,plate
img_8507.jpg,1418,754,1503,797,plate
img_8750.jpg,1275,314,1334,474,car
img_8750.jpg,897,570,1414,1363,car
img_8831.jpg,755,562,1264,1423,car
img_8912.jpg,944,270,1020,329,car
img_8912.jpg,1274,311,1337,473,car
img_8912.jpg,978,249,1044,290,car
img_8912.jpg,1029,226,1062,256,car
img_8912.jpg,846,364,1053,570,car
img_8912.jpg,1181,606,1724,1378,car
img_9074.jpg,956,280,1024,317,car
img_9074.jpg,987,251,1042,282,car
img_9074.jpg,1070,226,1102,253,car
img_9074.jpg,1103,278,1152,330,car
img_9074.jpg,1284,314,1342,456,car
img_9074.jpg,584,506,968,875,car
img_9074.jpg,648,702,753,743,plate
img_9155.jpg,1436,540,1696,670,motorbike
img_9155.jpg,961,289,1016,320,car
img_9155.jpg,1016,293,1067,353,car
img_9155.jpg,1173,260,1224,318,car
img_9155.jpg,1035,230,1063,254,car
img_9155.jpg,1067,229,1093,256,car
img_9155.jpg,992,312,1054,414,car
img_9155.jpg,1118,318,1220,426,car
img_9236.jpg,9,522,912,1283,truck
img_9236.jpg,969,272,1031,323,car
img_9236.jpg,1067,226,1094,249,car
img_9236.jpg,950,280,1012,331,car
img_9236.jpg,983,249,1041,289,car
img_9236.jpg,1032,228,1062,255,car
img_9236.jpg,1088,243,1132,284,car
img_9236.jpg,910,344,1087,504,car
img_9236.jpg,1315,550,1943,1043,car
img_9236.jpg,112,1101,244,1194,plate
img_9236.jpg,283,1340,436,1444,plate
img_9317.jpg,787,556,914,626,motorbike
img_9317.jpg,1034,229,1068,254,car
img_9317.jpg,983,247,1052,283,car
